credit agricole,sense bank,Procredit bank,ukrsibbank,raifizen bank aval,ukreximbank,urksocbank,International investment bank,pumb,oschad bank,Kredo bank,Privatbank,Mega bank,Prominvestbank,Ukrgazbank,Chreschatyk,UPB,Sberbank,Bank credit Dnepr,otp bank,vtb bank,National investments,Idea bank,Industrialbank,praveks bank,Urk Buisness Bank,Diamond bank,Pivdenny,Ukrinbank,Kyivskaya rus ,Platinum bank,finance and credit,Abank,Buisness bank,Universal Bank,Fidobank,Bank National credit,Vseukr bank of development,Taskombank,finance initiative,Akvant bank,Delta bank
11.52%,15.23%,5.75%,14.32%,46.68%,47.05%,37.79%,7.16%,15.15%,37.29%,11.23%,14.51%,5.92%,15.16%,74.52%,8.66%,6.26%,10.81%,11.18%,28.72%,11.32%,5.87%,13.18%,10.83%,37.21%,1.2%,5.79%,7.09%,4.08%,2.53%,18.79%,6.81%,25.39%,2.76%,18.69%,28.68%,4.61%,9.59%,6.55%,8.82%,0.96%,8.57%
4,3,2,4,1,1,1,2,3,1,4,4,2,3,1,2,2,4,4,2,4,2,4,4,1,1,2,2,1,1,3,2,2,1,3,2,1,2,2,2,1,2
12.6%,15.46%,5.37%,15.58%,21.87%,8.41%,27.72%,38.37%,0.08%,10.12%,6.52%,7.58%,9.62%,25.21%,-2.62%,8.77%,-2.07%,24%,45.07%,17.18%,12.31%,9.9%,47.5%,0%,1.15%,10.09%,51.55%,11.06%,34.24%,12.54%,10.3%,24.95%,-0.01%,0%,-4.29%,126.09%,39.55%,35.24%,-0.23%,4.31%,-8.6%,56.41%
5,5,5,5,5,5,5,4,3,5,5,3,3,5,5,3,2,5,4,5,5,3,5,3,3,3,4,3,4,3,3,4,2,3,5,4,4,4,2,3,2,4
0.51%,-2.26%,2.26%,-3.45%,-3.03%,-8.9%,-5.83%,0.63%,0.16%,-7.39%,0.09%,0.36%,0.58%,-7.48%,-12.5%,-1.58%,0.03%,0.26%,-1.64%,-9.94%,2.08%,0.07%,0.37%,0.43%,-6.24%,1.08%,0.16%,0.34%,0.13%,0.03%,-4.35%,-0.72%,0.49%,0.07%,-7.29%,0%,0.05%,0.16%,0.44%,-0.57%,0.01%,0.08%
5,2,5,2,2,1,1,5,3,1,3,4,5,1,1,2,3,4,2,1,5,3,4,4,1,5,3,4,3,3,1,2,4,3,1,3,3,3,4,2,3,3
16.48%,19.92%,17.85%,34.16%,20.02%,21.4%,4.08%,43.25%,17.73%,16.8%,10.97%,16.5%,17.41%,9.97%,10.38%,17.42%,18.88%,6.97%,21.27%,10.82%,7.21%,9.39%,5.71%,27.97%,24.91%,18.42%,25.76%,10.55%,3.33%,15.75%,13.86%,8.15%,62.21%,14.78%,9.38%,9.83%,9.81%,1.75%,9.39%,2.3%,23.77%,15.79%
4,4,4,5,5,5,1,5,4,4,3,4,4,2,3,4,4,2,5,3,2,2,1,5,5,4,5,3,1,3,3,2,5,3,2,2,2,1,2,1,5,3
6.71%,9.56%,9.21%,6.76%,13.12%,10.74%,12.93%,4.32%,13.48%,17.76%,8.19%,11.09%,10.3%,11.54%,7.47%,6.2%,15.6%,8.35%,9.77%,6.39%,13.94%,6.4%,12.04%,30.81%,16.3%,9.12%,5.63%,12.52%,11.13%,6.75%,3.59%,7.75%,9.57%,12.9%,9.4%,22.59%,7.63%,14.4%,11.32%,14.67%,10.16%,7.88%
1,2,2,1,4,3,4,1,4,5,2,3,3,3,1,1,5,2,2,1,4,1,4,5,5,2,1,4,3,1,1,1,2,4,2,5,1,4,3,4,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6,4.2,2,3.9,4.4,4.8,4.5,1.6,4,4.9,2.4,5,2.6,4.6,3.7,3.2,1.8,4.3,2.9,3.8,4.1,2.1,1.3,1.2,2.2,2,2.3,3.4,2.7,3.1,2.8,4,1,1.9,2.5,3.3,1.1,1.7,1.4,3.5,1.5,4.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04%,2.49%,0.5%,2.12%,3.36%,5.17%,2.91%,0.29%,2.93%,8.66%,0.47%,25.48%,0.37%,1.8%,1.62%,0.93%,0.35%,2.52%,0.86%,1.83%,0.92%,0.43%,0.4%,0.26%,0.5%,0.41%,0.4%,0.99%,0.74%,0.91%,1.17%,3.61%,0.41%,0.3%,0.47%,0.56%,0.25%,0.26%,0.33%,1.07%,0.31%,5.67%
4,5,2,5,5,5,5,1,5,5,2,5,2,4,4,3,2,5,3,4,3,2,2,1,2,2,2,3,3,3,4,5,2,1,2,3,1,1,2,4,2,5
121.05 млн грн,980.79 млн грн,237.42 млн грн,416.69 млн грн,359.61 млн грн,2023.98 млн грн,503.46 млн грн,274.43 млн грн,1190.85 млн грн,2629.76 млн грн,83.43 млн грн,5893.73 млн грн,14.7 млн грн,233.01 млн грн,448.45 млн грн,137.9 млн грн,21.22 млн грн,498.82 млн грн,343.84 млн грн,511.1 млн грн,-109.5 млн грн,58.73 млн грн,95.69 млн грн,40.8 млн грн,74.94 млн грн,143.16 млн грн,80.11 млн грн,209.84 млн грн,303.96 млн грн,228.52 млн грн,709.67 млн грн,1425.81 млн грн,77.14 млн грн,202.82 млн грн,6.13 млн грн,-413.1 млн грн,14.1 млн грн,44.73 млн грн,-88.61 млн грн,-61.14 млн грн,153.12 млн грн,-863.37 млн грн
3,5,4,4,4,5,5,4,5,5,2,5,2,4,4,3,2,4,4,5,1,2,2,2,2,3,2,3,4,3,5,5,2,3,2,1,2,2,1,1,3,1
2.82%,10.29%,12.74%,4.87%,2.6%,10.2%,4.27%,29.03%,10.64%,7.74%,4.4%,5.79%,0.95%,3.15%,6.99%,3.65%,1.44%,4.91%,10.41%,7.09%,-2.72%,3.33%,5.93%,3.92%,3.68%,8.94%,4.98%,5.28%,10.75%,6.34%,16.81%,10.32%,4.66%,19.15%,0.31%,-14.95%,1.35%,4.25%,-6.06%,-1.33%,13.47%,-3.48%
2,5,5,3,2,5,3,5,5,4,3,3,2,2,4,2,2,3,5,4,1,2,3,2,2,4,3,3,5,4,5,5,3,5,2,1,2,3,1,1,5,1
с 1993-02-10,с 1993-03-24,с 2000-12-28,с 1991-10-28,с 1992-03-27,с 1992-01-23,с 1991-09-27,с 2008-03-11,с 1991-12-23,с 1991-12-31,с 1992-03-31,с 1992-03-19,с 1991-10-28,с 1992-08-26,с 1993-07-21,с 1993-05-19,с 1992-01-30,с 2001-06-15,с 1993-07-07,с 1998-03-02,с 1992-11-11,с 1993-11-05,с 1991-10-22,с 1991-10-16,с 1992-12-29,с 2002-10-17,с 1993-11-17,с 1993-12-03,с 1991-10-02,с 1996-05-30,с 2005-01-13,с 1991-10-30,с 1992-10-30,с 2005-08-09,с 1994-01-20,с 1991-10-02,с 1996-01-01,с 2002-10-17,с 1991-10-21,с 2005-01-19,с 2009-03-05,с 2006-02-14
5,5,4,5,5,5,5,2,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,4,3,5,5,3,4,5,4,4,3,3,2,3
0,тд-,0,0,0,0,0,0,тд-,0,0,0,0,ва-,нв-/рк-/ва-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,нв,0,0,0,0,ва-,нв,0,нв,0,нв
5,4,5,5,5,5,5,5,4,5,5,5,5,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,4,1,5,1,5,1
3.84,3.44,3.36,3.58,3.51,3.27,2.78,3.09,3.46,3.44,3.36,3.8,3.19,3.19,2.5,2.53,2.86,3.65,3.39,2.71,4.07,2.22,3.34,3.68,2.79,2.74,2.9,3.16,2.46,2.31,2.37,2.54,2.6,2.58,2.73,3.19,2.06,2.65,2.36,2.57,2.47,2.96
3.8,4.8,4,4.4,4.2,5,4.6,3.4,4.8,4.8,3.4,4.6,3.2,3.8,3.8,3.6,3.2,4.2,4.4,4.4,3,3.2,3.4,3,3.2,3.6,3.4,3.8,4.4,3.8,4.4,4.2,3.4,3.4,3,3,2.6,2.2,2.4,2,3.4,2.2
 млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн
 млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл
% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн
% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл
